brand,carName,carImg,saleVolume,price,manufacturer,rank,carModel,energyType,marketTime,insure
宝马,宝马3系,https://p3-dcd.byteimg.com/img/motor-mis-img/b4f69ed40e9e2f4f40a8874ce323e181~tplv-resize:640:0.png,9929,"[23.69, 30.55]",华晨宝马,20,中型车,汽油,2022.08,3年或10万公里
红旗,红旗H5,https://p9-dcd.byteimg.com/img/motor-mis-img/4e5a38bacf99a7c63567e63f3bde1216~tplv-resize:640:0.png,9786,"[15.98, 22.58]",一汽红旗,21,中型车,汽油,2023.08,4年或10万公里
吉利汽车,星瑞,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/4fc66389c5644e648c5093b476ccd036~tplv-resize:640:0.png,9746,"[10.57, 13.57]",吉利汽车,22,紧凑型车,汽油,2023.06,4年或10万公里
比亚迪,宋Pro DM-i,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/91291cb770c44932a3f6c14feedc82b3~tplv-resize:640:0.png,9386,"[10.98, 13.98]",比亚迪,23,紧凑型SUV,插电式混合动力,2024.03,6年或15万公里
比亚迪,宋PLUS DM-i,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/f9d266bdf7d44b418eee09141be33ec0~tplv-resize:640:0.png,9279,"[12.98, 16.98]",比亚迪,24,紧凑型SUV,插电式混合动力,2024.02,6年或15万公里
比亚迪,海豚,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/9764f8a4037b4c39b6446a4fa928e266~tplv-resize:640:0.png,9213,"[9.98, 12.98]",比亚迪,25,小型车,纯电动,2024.02,6年或15万公里
奔驰,奔驰E级,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/c02aa97643944bed96a20db674f0fcb6~tplv-resize:640:0.png,8900,"[33.91, 50.98]",北京奔驰,26,中大型车,48V轻混系统,2023.12,3年不限公里
长安,逸动,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/b754d7190a2740f0a0de783eaf5e439f~tplv-resize:640:0.png,8683,"[5.09, 8.19]",长安汽车,27,紧凑型车,汽油,2023.04,3年或10万公里
理想汽车,理想L7,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/d23987ab80044821a6b553acf3e58a03~tplv-resize:640:0.png,8459,"[31.98, 37.98]",理想汽车,28,中大型SUV,增程式,2024.03,5年或10万公里
奇瑞,瑞虎8,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/734a4fbac7cf461293613d4f1a478e5b~tplv-resize:640:0.png,8296,"[8.99, 16.29]",奇瑞汽车,29,中型SUV,汽油,2023.10,3年或10万公里
比亚迪,元PLUS,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/0a5a6f5f1e4e417f823a51d894fa7345~tplv-resize:640:0.png,8210,"[11.98, 14.78]",比亚迪,30,紧凑型SUV,纯电动,2024.03,6年或15万公里
吉利汽车,帝豪,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/e124af9a60a8444b9212fa9b2cbfa278~tplv-resize:640:0.png,8162,"[5.59, 12.98]",吉利汽车,31,紧凑型车,汽油,2023.06,4年或15万公里
五菱汽车,五菱缤果,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c316a4720f1f48da80b558c02a32b01c~tplv-resize:640:0.png,8087,"[5.98, 8.38]",上汽通用五菱,32,小型车,纯电动,2023.03,3年或10万公里
捷途,捷途X70,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/9f9edd2f1b8f4ff68538900708783c01~tplv-resize:640:0.png,7828,"[7.79, 16.09]",奇瑞汽车,33,中型SUV,汽油,2023.11,4年或10万公里
五菱汽车,五菱宏光,https://p3-dcd.byteimg.com/img/motor-mis-img/5e5eb3f0b2e232525d8d7f1d44fa55fb~tplv-resize:640:0.png,7726,"[4.6, 6.04]",上汽通用五菱,34,微面,汽油,2022.07,3年或10万公里
奥迪,奥迪Q5L,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/67161a339e5c4639bdcfc59d4b67efc9~tplv-resize:640:0.png,7676,"[28.62, 35.68]",一汽-大众奥迪,35,中型SUV,汽油,2023.10,3年或10万公里
特斯拉,Model 3,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/25d4d4c6e46f4f078d75e768fabd7f0e~tplv-resize:640:0.png,7604,"[24.59, 28.59]",特斯拉中国,36,中型车,纯电动,2023.09,4年或8万公里
宝马,宝马X3,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/6ef160326cdc43d6b8395d9b0ae6a31c~tplv-resize:640:0.png,7482,"[30.77, 38.39]",华晨宝马,37,中型SUV,汽油,2023.02,3年或10万公里
本田,思域,https://p3-dcd.byteimg.com/img/motor-mis-img/af835d978de92b8342d900c8473c8d88~tplv-resize:640:0.png,7420,"[10.19, 15.99]",东风本田,38,紧凑型车,汽油,2022.12,3年或10万公里
大众,途岳,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/7af39d3a968446848f32b453d0211164~tplv-resize:640:0.png,7366,"[11.99, 18.16]",上汽大众,39,紧凑型SUV,汽油,2023.03,3年或10万公里
吉利汽车,博越L,https://p9-dcd.byteimg.com/img/motor-mis-img/1214ac87d1a1f6dd0313f3d3d336c2eb~tplv-resize:640:0.png,7232,"[10.52, 15.02]",吉利汽车,40,紧凑型SUV,汽油,2022.10,4年或10万公里
丰田,威兰达,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/39f96820a5e244b8a11ce5fae05c2006~tplv-resize:640:0.png,7225,"[13.68, 22.78]",广汽丰田,41,紧凑型SUV,汽油,2023.03,3年或10万公里
大众,宝来,https://p3-dcd.byteimg.com/img/motor-mis-img/dbd8f3ffb172ce6ef271849013b14763~tplv-resize:640:0.png,7221,"[8.49, 12.9]",一汽-大众,42,紧凑型车,汽油,2022.11,3年或10万公里
奇瑞,艾瑞泽8,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/d8d9de3901d34378b2fd87287e07b7fa~tplv-resize:640:0.png,7160,"[9.89, 13.79]",奇瑞汽车,43,紧凑型车,汽油,2023.07,3年或10万公里
长安,长安UNI-V,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/7204df6719904f8c857ddf241d537df2~tplv-resize:640:0.png,7135,"[9.89, 12.99]",长安汽车,44,紧凑型车,汽油,2023.04,3年或10万公里
现代,伊兰特,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/9df2036fdb244307bed69e9e03cf2368~tplv-resize:640:0.png,7066,"[7.28, 12.28]",北京现代,45,紧凑型车,汽油,2023.08,3年或10万公里
本田,本田CR-V,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/bc20bec323e9460e862ac2b30b0f9991~tplv-resize:640:0.png,7046,"[15.59, 23.39]",东风本田,46,紧凑型SUV,汽油,2022.09,3年或10万公里
丰田,雷凌,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/4be933594d45455592d516c912d27b69~tplv-resize:640:0.png,7041,"[8.18, 12.38]",广汽丰田,47,紧凑型车,汽油,2023.03,3年或10万公里
丰田,凯美瑞,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/2b0405ab3ec543bf9bef91533b82899f~tplv-resize:640:0.png,6971,"[15.28, 23.48]",广汽丰田,48,中型车,汽油,2024.03,3年或10万公里
大众,凌渡,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/72aad906601447f59df191ebb8522c58~tplv-resize:640:0.png,6963,"[12.09, 16.79]",上汽大众,49,紧凑型车,汽油,2023.08,3年或10万公里
比亚迪,驱逐舰 05,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/fdd396bacd4e433699c66a8dc73db8db~tplv-resize:640:0.png,6953,"[7.98, 12.88]",比亚迪,50,紧凑型车,插电式混合动力,2024.02,6年或15万公里
日产,逍客,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/74a5e843ff5340aea475757a258d43bb~tplv-resize:640:0.png,6680,"[10.69, 16.69]",东风日产,51,紧凑型SUV,汽油,2023.08,3年或10万公里
大众,探岳,https://p9-dcd.byteimg.com/img/motor-mis-img/fa07dcebd6da68142bf78b8afc536956~tplv-resize:640:0.png,6627,"[16.19, 21.69]",一汽-大众,52,中型SUV,汽油,2023.10,3年或10万公里
奥迪,奥迪A4L,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/db765ed4695e4d1e808f3344a2637ff8~tplv-resize:640:0.png,6597,"[22.2, 28.86]",一汽-大众奥迪,53,中型车,汽油,2023.10,3年或10万公里
长安欧尚,长安欧尚Z6,https://p9-dcd.byteimg.com/img/motor-mis-img/252d100a630cf9298e8d357fe7ee8ffc~tplv-resize:640:0.png,6591,"[8.69, 12.09]",长安汽车,54,紧凑型SUV,汽油,2023.06,3年或10万公里
比亚迪,秦PLUS EV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f2c7ac4f763b45f99d6492adc2ee9f39~tplv-resize:640:0.png,6583,"[10.98, 15.78]",比亚迪,55,紧凑型车,纯电动,2024.02,6年或15万公里
本田,雅阁,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/01ea2955a1cb44ff8f048e3deabf2c17~tplv-resize:640:0.png,6519,"[13.38, 18.28]",广汽本田,56,中型车,汽油,2024.01,3年或10万公里
红旗,红旗HS5,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c20137f882ec47cda4c0e54e82aa1f48~tplv-resize:640:0.png,6463,"[15.18, 21.78]",一汽红旗,57,中型SUV,汽油,2023.05,4年或10万公里
宝马,宝马X5,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/bf84f7f297c74b4ab69467bef101e7e1~tplv-resize:640:0.png,6453,"[58, 77.6]",华晨宝马,58,中大型SUV,48V轻混系统,2023.08,3年或10万公里
理想汽车,理想L9,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/4f056cfb109c43308e929851d8764605~tplv-resize:640:0.png,6336,"[42.98, 45.98]",理想汽车,59,大型SUV,增程式,2024.03,5年或10万公里
丰田,RAV4荣放,https://p3-dcd.byteimg.com/img/motor-mis-img/d1ac1817fbc495d355e029a8b10c68f8~tplv-resize:640:0.png,5947,"[13.88, 22.58]",一汽丰田,60,紧凑型SUV,汽油,2023.04,3年或10万公里
宝马,宝马X1,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c9c9c02010874036a2f03c203ca1238a~tplv-resize:640:0.png,5917,"[19.26, 24.5]",华晨宝马,61,紧凑型SUV,汽油,2023.04,3年或10万公里
埃安,AION Y,https://p3-dcd.byteimg.com/img/motor-mis-img/a4dcf08d322941eb5259fbcb35ead82e~tplv-resize:640:0.png,5794,"[9.98, 14.08]",广汽埃安新能源,62,紧凑型SUV,纯电动,2024.03,4年或15万公里
本田,型格,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/bc48ceffe1394c528b45bb3a5042f890~tplv-resize:640:0.png,5691,"[11.19, 15.89]",广汽本田,63,紧凑型车,汽油,2024.03,3年或10万公里
五菱汽车,五菱星光PHEV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/1abac11028e24418a06fdf357476c3dc~tplv-resize:640:0.png,5647,"[8.88, 9.98]",上汽通用五菱,64,中型车,插电式混合动力,2023.12,6年或15万公里
长安欧尚,长安欧尚X5 PLUS,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/a4616746e0c748508ba07e1c3909e58f~tplv-resize:640:0.png,5565,"[7.19, 9.69]",长安汽车,65,紧凑型SUV,汽油,2023.04,3年或10万公里
长安,长安CS55 PLUS,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/8727a564bae045058a6c89a8395c2612~tplv-resize:640:0.png,5545,"[7.79, 11.39]",长安汽车,66,紧凑型SUV,汽油,2023.09,3年或10万公里
埃安,AION S,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/f767ea64a42944a9ad5aa01b05b45965~tplv-resize:640:0.png,5462,"[11.98, 17.39]",广汽埃安新能源,67,紧凑型车,纯电动,2023.10,4年或15万公里
理想汽车,理想L8,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/df46af6b3ad1439f83d4448cfb729918~tplv-resize:640:0.png,5457,"[33.98, 39.98]",理想汽车,68,中大型SUV,增程式,2024.03,5年或10万公里
比亚迪,宋L,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/2e28737a95cd4a9aba1b33c6bee37d69~tplv-resize:640:0.png,5265,"[18.98, 24.98]",比亚迪,71,中型SUV,纯电动,2023.12,6年或15万公里
AITO,问界M9,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c6eb4687b1d1477c86826edc4d417e6c~tplv-resize:640:0.png,5251,"[46.98, 56.98]",赛力斯汽车,72,大型SUV,增程式,2023.12,4年或10万公里
别克,别克GL8,https://p3-dcd.byteimg.com/img/motor-mis-img/1b5d71c459535ea55476f5dd7a91be6c~tplv-resize:640:0.png,4392,"[23.29, 47.39]",上汽通用别克,81,中大型MPV,48V轻混系统,2023.02,3年或10万公里
极氪,ZEEKR 007,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/7b2e691a90dc4bee8b0a230a2e84d1f4~tplv-resize:640:0.png,4204,"[20.99, 29.99]",极氪,82,中型车,纯电动,2023.12,4年或10万公里
深蓝汽车,深蓝S7,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f51d4ff960ed499ea4b443967ee6b0fe~tplv-resize:640:0.png,4202,"[13.99, 19.79]",深蓝汽车,83,中型SUV,增程式,2024.02,3年或12万公里
丰田,赛那,https://p9-dcd.byteimg.com/img/motor-mis-img/3d40895e3ab4e118a086187f7e78ebba~tplv-resize:640:0.png,4109,"[28.98, 39.18]",广汽丰田,84,中大型MPV,油电混合,2023.03,3年或10万公里
吉利汽车,博越,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/9ab4d56315ff4d8c98ee26346d40f71d~tplv-resize:640:0.png,4044,"[8.98, 11.58]",吉利汽车,85,紧凑型SUV,汽油,2024.01,4年或10万公里
宝马,宝马5系,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/e85fab8db1b346578e344ab528cbeaa2~tplv-resize:640:0.png,4019,"[41.99, 50.59]",华晨宝马,86,中大型车,48V轻混系统,2024.01,3年或10万公里
腾势,腾势D9 DM-i,https://p3-dcd.byteimg.com/img/motor-mis-img/33c228a4d0101c510250f1095b554e5e~tplv-resize:640:0.png,4016,"[32.48, 60.06]",腾势汽车,87,中大型MPV,插电式混合动力,2024.03,6年或15万公里
深蓝汽车,深蓝SL03,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/89bf7774d79f44eab5d9acca6ba8712e~tplv-resize:640:0.png,3987,"[12.99, 67.79]",深蓝汽车,88,中型车,增程式,2024.02,3年或12万公里
领克,领克03,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/496f813bab0e479cb6484b656f93e1d8~tplv-resize:640:0.png,3981,"[12.18, 42.03]",领克,89,紧凑型车,油电混合,2022.09,4年或10万公里
红旗,红旗E-QM5,https://p9-dcd.byteimg.com/img/motor-mis-img/3174065ca959cf593465c373c7722041~tplv-resize:640:0.png,3968,"[13.38, 20.78]",一汽红旗,90,中型车,纯电动,2024.03,4年或10万公里
凯迪拉克,凯迪拉克CT5,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/293217d96dd84452b6267df0dd6df9cf~tplv-resize:640:0.png,3921,"[21.47, 28.67]",上汽通用凯迪拉克,91,中型车,汽油,2023.12,3年不限公里
长安,长安Lumin,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/ce6c0eedd9c6421c94ef984285239d44~tplv-resize:640:0.png,3845,"[3.79, 6.19]",长安汽车,92,微型车,纯电动,2023.08,3年或12万公里
大众,大众ID.3,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c55ec29bd2f545239f812024e3ceb691~tplv-resize:640:0.png,3803,"[12.59, 14.98]",上汽大众,93,紧凑型车,纯电动,2024.01,3年或10万公里
别克,君威,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/65ca9a0988cf45e29d3c04aca829f355~tplv-resize:640:0.png,3666,"[12.98, 21.98]",上汽通用别克,94,中型车,汽油,2023.07,3年或10万公里
奇瑞,瑞虎7,https://p3-dcd.byteimg.com/img/motor-mis-img/91d1a9696ea68fc6427247e5dd2d5ef1~tplv-resize:640:0.png,3652,"[7.09, 14.09]",奇瑞汽车,95,紧凑型SUV,汽油,2023.07,3年或10万公里
比亚迪,唐DM-i,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/8c1608c9862b4aafb901b9e9e392ad03~tplv-resize:640:0.png,3607,"[17.98, 27.98]",比亚迪,96,中型SUV,插电式混合动力,2024.02,6年或15万公里
比亚迪,汉DM-i,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/a965de726e8a43909ebfe83ae9325804~tplv-resize:640:0.png,3599,"[15.98, 25.98]",比亚迪,97,中大型车,插电式混合动力,2024.02,6年或15万公里
坦克,坦克300,https://p3-dcd.byteimg.com/img/motor-mis-img/53d89e20ef5df0119912ecfc6db642ae~tplv-resize:640:0.png,3458,"[19.98, 30.28]",长城汽车,98,紧凑型SUV,汽油,2023.08,5年或15万公里
沃尔沃,沃尔沃XC60,https://p3-dcd.byteimg.com/img/motor-mis-img/058f6dd326221149f0f7d23aec62600c~tplv-resize:640:0.png,3441,"[28.39, 38.09]",沃尔沃亚太,101,中型SUV,48V轻混系统,2023.05,3年不限公里
领克,领克08 EM-P,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/17614683c5d74474b25696e6ba9f1619~tplv-resize:640:0.png,3419,"[19.88, 27.8]",领克,102,中型SUV,插电式混合动力,2023.09,5年或10万公里
比亚迪,宋PLUS EV,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/fa73e1ea76ca4aa9aa291fd9d73dbf98~tplv-resize:640:0.png,3414,"[14.98, 18.98]",比亚迪,103,紧凑型SUV,纯电动,2024.02,6年或15万公里
长安,逸达,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/eac9a5b665864f3b8c6b0b1d72e3f2bc~tplv-resize:640:0.png,3405,"[6.99, 9.79]",长安汽车,104,紧凑型车,汽油,2023.08,3年或10万公里
名爵,MG5,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/d6a56e2049ac4b208d49d4f02f2916c3~tplv-resize:640:0.png,3384,"[5.79, 9.09]",上汽集团,105,紧凑型车,汽油,2023.05,3年或10万公里
福特,蒙迪欧,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/3ad464028fb74a7785bc2a6c606a6d3a~tplv-resize:640:0.png,3381,"[13.78, 20.78]",长安福特,106,中型车,汽油,2023.07,3年或10万公里
广汽传祺,传祺M6,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/7f73f6f447314098ac00754b8b25efd2~tplv-resize:640:0.png,3334,"[9.98, 14.88]",广汽乘用车,107,紧凑型MPV,汽油,2022.12,3年或10万公里
大众,高尔夫,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/4fc088b811b34649b7293e1446212e1f~tplv-resize:640:0.png,3245,"[11.18, 21.18]",一汽-大众,108,紧凑型车,汽油,2024.01,3年或10万公里
五菱汽车,五菱佳辰,https://p9-dcd.byteimg.com/img/motor-mis-img/1d111f4c68dbfde0d1fd3c455a3a2db7~tplv-resize:640:0.png,3086,"[6.73, 11.43]",上汽通用五菱,109,紧凑型MPV,油电混合,2023.06,3年或10万公里
大众,T-ROC探歌,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/854d92c324144a8baf7f4a1229768f5e~tplv-resize:640:0.png,3064,"[12.59, 14.69]",一汽-大众,110,紧凑型SUV,汽油,2024.01,3年或10万公里
五菱汽车,五菱星驰,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/8aeb5f1c39fe4c509540e272edfac572~tplv-resize:640:0.png,3024,"[5.38, 8.38]",上汽通用五菱,111,小型SUV,汽油,2023.04,3年或10万公里
吉利汽车,豪越L,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/35f4fe1d9d7240879696d2d7774573d5~tplv-resize:640:0.png,3008,"[11.29, 13.29]",吉利汽车,112,中型SUV,汽油,2023.11,4年或10万公里
奔腾,奔腾B70,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/39774d70f0c445a88fa3a332502c53e3~tplv-resize:640:0.png,3002,"[10.09, 13.99]",一汽奔腾,113,中型车,汽油,2023.12,3年或10万公里
长安启源,长安启源A05,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/90024992da744ec1a944c8bca7fb6a3d~tplv-resize:640:0.png,2987,"[7.89, 11.09]",长安启源,114,紧凑型车,插电式混合动力,2023.10,3年或15万公里
领克,领克06,https://p3-dcd.byteimg.com/img/motor-mis-img/189c2b11c6396ed5c63d9db5a57e6341~tplv-resize:640:0.png,2971,"[11.26, 12.26]",领克,115,小型SUV,汽油,2022.09,4年或10万公里
蔚来,蔚来ES6,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/64a3a0a4ae604ebab934377a157a9851~tplv-resize:640:0.png,2959,"[33.8, 39.6]",蔚来,116,中型SUV,纯电动,2024.02,3年或12万公里
捷途,捷途X90,https://p9-dcd.byteimg.com/img/motor-mis-img/db9398d99c107b4ee74543a8fa39cc8a~tplv-resize:640:0.png,2889,"[12.99, 16.29]",奇瑞汽车,117,中型SUV,汽油,2022.11,4年或10万公里
奥迪,奥迪A3,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/bed15598b2964894805e3c74db0e7e23~tplv-resize:640:0.png,2884,"[14.01, 17.59]",一汽-大众奥迪,118,紧凑型车,汽油,2023.10,3年或10万公里
宝马,宝马i3,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/9ec42e56919241d7810481cc6fa5a1d4~tplv-resize:640:0.png,2870,"[23.1, 27.4]",华晨宝马,119,中型车,纯电动,2023.11,3年或10万公里
雪佛兰,科鲁泽,https://p3-dcd.byteimg.com/img/motor-mis-img/f63e0947469ae2d9cee05bbdc33f514f~tplv-resize:640:0.png,2810,"[6.49, 7.89]",上汽通用雪佛兰,120,紧凑型车,汽油,2023.06,3年或10万公里
丰田,卡罗拉,https://p9-dcd.byteimg.com/img/motor-mis-img/b2fb8f96191b30a2992fc05fb5af0a4c~tplv-resize:640:0.png,2743,"[9.18, 13.08]",一汽丰田,121,紧凑型车,汽油,2023.05,3年或10万公里
红旗,红旗HS3,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/130d0777d22c4e7aba7791c0ee645462~tplv-resize:640:0.png,2742,"[11.38, 16.38]",一汽红旗,122,紧凑型SUV,汽油,2023.07,4年或10万公里
